,Games,Game Type,Turns,Victory Status,Winner,Increment Code,White Id,White Rating,Black Id,Black Rating,Opening ECO,Opening Name,Rating Difference,Date,Time,Winner Id
16,16,Unrated,52,resign,black,15+15,shivangithegenius,1094,sureka_akshat,1141,C50,Four Knights Game: Italian Variation,47,2017-08-30,10:46:40,sureka_akshat
17,17,Unrated,66,mate,black,15+16,sureka_akshat,1141,shivangithegenius,1094,C50,Four Knights Game: Italian Variation,47,2017-08-29,12:33:20,shivangithegenius
18,18,Unrated,101,resign,black,15+15,shivangithegenius,1094,slam_ment,1300,C41,Philidor Defense #3,206,2017-08-29,12:33:20,slam_ment
19,19,Unrated,25,resign,white,11+0,g-ios,1500,shivangithegenius,1094,D00,Queen's Pawn Game,406,2017-08-26,15:06:40,g-ios
20,20,Unrated,14,resign,black,15+15,shivangithegenius,1094,lex_v1,1676,C55,Italian Game: Anti-Fried Liver Defense,582,2017-08-17,06:06:40,lex_v1
22,22,Unrated,17,resign,white,15+5,storm28rus,1500,shivangithegenius,1094,B20,Sicilian Defense: Bowdler Attack,406,2017-08-17,06:06:40,storm28rus
23,23,Rated,36,resign,white,10+0,robotsmoke,1307,shivangithegenius,1106,A25,English Opening: King's English Variation |  Reversed Closed Sicilian,201,2017-08-17,06:06:40,robotsmoke
24,24,Rated,13,resign,black,10+0,shivangithegenius,1113,ivangonzalez123,1423,B21,Sicilian Defense: Smith-Morra Gambit #2,310,2017-08-16,05:06:40,ivangonzalez123
25,25,Rated,69,mate,white,10+10,shivangithegenius,1078,sureka_akshat,1219,D01,Queen's Pawn Game: Chigorin Variation,141,2017-08-15,06:53:20,shivangithegenius
26,26,Rated,43,resign,white,10+10,gmcarlsen403,1825,shivangithegenius,1079,C45,Scotch Game: Haxo Gambit,746,2017-08-15,06:53:20,gmcarlsen403
27,27,Rated,54,mate,black,10+10,mannat1,1328,shivangithegenius,1038,D01,Queen's Pawn Game: Chigorin Variation,290,2017-08-15,06:53:20,shivangithegenius
28,28,Rated,53,resign,black,10+10,shivangithegenius,1056,biyanivedant01,1156,D10,Slav Defense,100,2017-08-15,06:53:20,biyanivedant01
29,29,Rated,66,mate,black,10+10,shivangithegenius,1077,chinmaysharma,1148,D06,Queen's Gambit Refused: Marshall Defense,71,2017-08-15,06:53:20,chinmaysharma
30,30,Rated,64,resign,black,10+10,biyanivedant01,1358,shivangithegenius,1036,B21,Sicilian Defense: Smith-Morra Gambit #2,322,2017-08-15,06:53:20,shivangithegenius
31,31,Rated,64,mate,black,10+10,rv0209,1200,shivangithegenius,1002,B52,Sicilian Defense: Canal Attack |  Main Line,198,2017-08-15,06:53:20,shivangithegenius
32,32,Rated,54,resign,white,10+10,vihaandumir,1203,shivangithegenius,1019,B27,Sicilian Defense,184,2017-08-15,06:53:20,vihaandumir
33,33,Unrated,21,resign,black,15+3,shivangithegenius,1019,shamlanaseer,1500,D20,Queen's Gambit Accepted: Central Variation |  Greco Variation,481,2017-08-14,14:13:20,shamlanaseer
34,34,Unrated,11,resign,white,18+0,medovich,1422,shivangithegenius,975,B20,Sicilian Defense: Bowdler Attack,447,2017-08-11,05:40:00,medovich
35,35,Rated,19,resign,black,10+0,shivangithegenius,976,sorethea,1832,B06,Robatsch (Modern) Defense,856,2017-08-11,05:40:00,sorethea
36,36,Rated,28,resign,white,10+0,rico21,1569,shivangithegenius,978,D00,Blackmar-Diemer Gambit: Tartakower Variation,591,2017-08-11,05:40:00,rico21
37,37,Unrated,22,resign,black,15+0,shivangithegenius,978,jojo58,1500,A45,Indian Game,522,2017-08-08,16:33:20,jojo58
38,38,Unrated,37,resign,white,15+0,jojo58,1500,shivangithegenius,978,B77,Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Main Line,522,2017-08-08,16:33:20,jojo58
39,39,Unrated,34,resign,white,30+30,rajuppi,2449,shivangithegenius,978,A21,English Opening: King's English Variation |  Reversed Sicilian,1471,2017-08-06,14:33:20,rajuppi
40,40,Unrated,32,draw,draw,20+25,white_queen_1990,1207,shivangithegenius,978,B70,Sicilian Defense: Dragon Variation,229,2017-07-10,15:20:00,
41,41,Unrated,71,resign,black,5+5,milestretch,1241,shivangithegenius,978,B23,Sicilian Defense: Closed Variation,263,2017-07-10,15:20:00,shivangithegenius
42,42,Unrated,30,resign,white,30+0,stephen789,1500,shivangithegenius,978,B21,Sicilian Defense: Smith-Morra Gambit #2,522,2017-07-09,17:06:40,stephen789
43,43,Unrated,66,resign,white,40+40,rajuppi,2443,shivangithegenius,978,B76,Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Modern Line,1465,2017-07-09,17:06:40,rajuppi
44,44,Unrated,41,resign,white,20+0,hmbrgr,1500,shivangithegenius,978,B21,Sicilian Defense: Smith-Morra Gambit #2,522,2017-07-06,08:33:20,hmbrgr
45,45,Unrated,49,resign,white,15+0,jjwrchess,1500,shivangithegenius,978,B20,Sicilian Defense: Bowdler Attack,522,2017-07-06,08:33:20,jjwrchess
47,47,Unrated,7,resign,white,10+0,adnanraj,1343,shivangithegenius,978,B20,Sicilian Defense: Bowdler Attack,365,2017-07-06,05:46:40,adnanraj
48,48,Unrated,35,mate,white,40+40,rajuppi,2436,shivangithegenius,978,B77,Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Main Line,1458,2017-07-02,15:40:00,rajuppi
49,49,Unrated,41,mate,white,40+40,rajuppi,2436,shivangithegenius,978,B01,Scandinavian Defense: Mieses-Kotroc Variation,1458,2017-06-25,17:00:00,rajuppi
50,50,Unrated,5,resign,black,10+0,shivangithegenius,978,balkarec,1500,C00,French Defense: Normal Variation,522,2017-06-20,17:33:20,balkarec
51,51,Unrated,7,resign,white,10+0,lucasimeon,1500,shivangithegenius,978,C21,King's Pawn Game: Beyer Gambit,522,2017-06-19,19:20:00,lucasimeon
52,52,Unrated,53,mate,white,10+0,shivangithegenius,978,lucasimeon,1500,A80,Dutch Defense,522,2017-06-19,19:20:00,shivangithegenius
53,53,Unrated,36,resign,black,10+0,lucasimeon,1500,shivangithegenius,978,A20,English Opening: King's English Variation,522,2017-06-19,16:33:20,shivangithegenius
54,54,Rated,8,resign,white,16+0,wing175,1521,gerfsh,1162,A04,Zukertort Opening: Ross Gambit,359,2017-08-20,11:53:20,wing175
56,56,Rated,28,resign,white,10+0,mazyaraghgmail,1492,wpc96,1458,C26,Vienna Game: Mengarini Variation,34,2017-09-01,10:00:00,mazyaraghgmail
57,57,Rated,30,resign,black,10+0,anrk,1414,wpc96,1442,C41,Philidor Defense: Larsen Variation,28,2017-09-01,07:13:20,wpc96
58,58,Rated,44,resign,black,10+0,wpc96,1457,tbaruel,1294,C44,Scotch Game,163,2017-08-31,00:40:00,tbaruel
59,59,Rated,29,resign,white,10+0,acahn,1525,wpc96,1466,C41,Philidor Defense: Lopez Countergambit,59,2017-08-31,00:40:00,acahn
60,60,Rated,37,resign,black,8+10,iskendermyucel,1207,oldpaths,1579,C00,French Defense: Knight Variation,372,2017-09-01,01:40:00,oldpaths
61,61,Rated,49,resign,white,8+12,oldpaths,1567,david1488,1573,A40,Modern Defense,6,2017-08-29,01:26:40,oldpaths
62,62,Rated,32,resign,black,8+12,oldpaths,1578,lc777,1605,A40,Horwitz Defense,27,2017-08-29,01:26:40,lc777
63,63,Rated,25,resign,white,8+12,jordanfury,1939,oldpaths,1581,E10,Blumenfeld Countergambit #2,358,2017-08-29,01:26:40,jordanfury
64,64,Rated,40,mate,black,5+10,porquepepe,1618,oldpaths,1568,C00,French Defense #2,50,2017-08-29,01:26:40,oldpaths
65,65,Rated,39,resign,white,7+12,gio1212,1755,oldpaths,1574,A04,Zukertort Opening: Kingside Fianchetto,181,2017-08-28,22:40:00,gio1212
66,66,Rated,57,resign,white,15+10,oldpaths,1561,rubberchicken04,1596,A45,Indian Game,35,2017-08-28,03:13:20,oldpaths
67,67,Rated,78,resign,black,5+40,berejokserg,1500,oldpaths,1554,C00,French Defense: Queen's Knight,54,2017-08-27,05:00:00,oldpaths
68,68,Rated,61,resign,white,15+5,oldpaths,1544,trump216bc,1461,D00,Queen's Pawn Game: Mason Attack,83,2017-08-26,23:26:40,oldpaths
69,69,Rated,44,resign,black,20+5,oldpaths,1563,efer003,1335,D00,Queen's Pawn Game: Mason Attack,228,2017-08-26,01:13:20,efer003
70,70,Rated,62,mate,black,20+5,oldpaths,1579,fcolpo,1470,A41,Queen's Pawn,109,2017-08-26,01:13:20,fcolpo
71,71,Rated,87,mate,white,20+5,chesschumpchamp,1617,oldpaths,1590,A45,Indian Game,27,2017-08-25,22:26:40,chesschumpchamp
72,72,Rated,54,mate,black,20+5,aminox,1207,oldpaths,1588,C02,French Defense: Advance |  Steinitz Variation,381,2017-08-25,22:26:40,oldpaths
73,73,Rated,54,resign,black,15+5,oldpaths,1595,sale0706,1547,D00,Queen's Pawn Game: Mason Attack,48,2017-08-25,19:40:00,sale0706
74,74,Rated,37,resign,white,15+5,redar1,1855,oldpaths,1599,C01,French Defense: Exchange Variation,256,2017-08-25,19:40:00,redar1
75,75,Rated,50,resign,white,15+5,oldpaths,1589,insequitur,1547,A40,Horwitz Defense,42,2017-08-25,19:40:00,oldpaths
76,76,Rated,131,resign,white,30+0,oldpaths,1571,tb-123,1728,D02,Queen's Pawn Game: London System,157,2017-08-25,19:40:00,oldpaths
77,77,Rated,48,resign,white,30+0,tb-123,1720,oldpaths,1579,C00,French Defense: Chigorin Variation,141,2017-08-25,19:40:00,tb-123
78,78,Rated,47,resign,black,15+5,oldpaths,1579,iris_foxspring,2105,D02,Queen's Pawn Game: London System,526,2017-08-25,00:13:20,iris_foxspring
79,79,Rated,64,mate,black,15+5,zoro55,1768,oldpaths,1560,C00,French Defense: La Bourdonnais Variation,208,2017-08-24,04:46:40,oldpaths
80,80,Rated,61,resign,white,15+5,oldpaths,1552,geburah,1436,D00,Queen's Pawn Game: Mason Attack,116,2017-08-24,02:00:00,oldpaths
81,81,Rated,57,mate,white,15+5,oldpaths,1536,urmil007,1667,D02,Queen's Pawn Game: London System,131,2017-08-23,03:46:40,oldpaths
82,82,Rated,51,resign,white,15+5,serai,1521,oldpaths,1549,A10,English Opening: Anglo-Lithuanian Variation,28,2017-08-23,03:46:40,serai
83,83,Rated,58,mate,black,15+5,allahdeweswin,1251,oldpaths,1545,A00,Crab Opening,294,2017-08-23,01:00:00,oldpaths
84,84,Rated,71,resign,white,15+5,oldpaths,1537,antoniogallero,1408,D00,Queen's Pawn Game: Mason Attack,129,2017-08-23,01:00:00,oldpaths
85,85,Rated,114,resign,white,15+5,oldpaths,1522,matheuswillx,1512,A40,Queen's Pawn,10,2017-08-22,22:13:20,oldpaths
86,86,Rated,39,resign,white,15+5,euler_jr,1602,oldpaths,1532,C18,French Defense: Winawer Variation |  Advance Variation #2,70,2017-08-22,19:26:40,euler_jr
87,87,Rated,20,resign,black,15+5,oldpaths,1543,euler_jr,1593,D02,Queen's Pawn Game: London System,50,2017-08-22,19:26:40,euler_jr
88,88,Rated,48,resign,black,30+0,oldpaths,1556,krillnor,1539,D00,Queen's Pawn Game: Mason Attack,17,2017-08-22,19:26:40,krillnor
89,89,Rated,34,mate,black,20+10,hoanghieudro2,1409,oldpaths,1548,C00,French Defense: Knight Variation,139,2017-08-22,02:46:40,oldpaths
90,90,Rated,51,resign,white,20+10,oldpaths,1539,hoanghieudro2,1418,D02,Queen's Pawn Game: London System,121,2017-08-22,02:46:40,oldpaths
91,91,Rated,69,resign,white,20+10,ehabhaddad,1603,oldpaths,1550,C00,French Defense: Queen's Knight,53,2017-08-22,02:46:40,ehabhaddad
92,92,Rated,28,resign,white,20+10,oldpaths,1542,gabrielsol,1399,D00,Queen's Pawn Game: Steinitz Countergambit,143,2017-08-22,00:00:00,oldpaths
93,93,Rated,62,resign,black,20+10,oldpaths,1546,crushmik,1877,D02,Queen's Pawn Game: London System,331,2017-08-22,00:00:00,crushmik
94,94,Rated,62,mate,black,20+10,amary33,1134,oldpaths,1535,A47,Queen's Indian Defense,401,2017-08-22,00:00:00,oldpaths
95,95,Rated,85,mate,white,20+10,oldpaths,1513,remisero,1784,A40,Horwitz Defense,271,2017-08-22,00:00:00,oldpaths
96,96,Rated,38,resign,white,20+10,oldpaths,1501,ryan94,1445,D02,Queen's Pawn Game: London System,56,2017-08-21,21:13:20,oldpaths
97,97,Unrated,14,resign,white,45+0,lotfibma,1500,hollyandclaws,1500,C50,Italian Game: Giuoco Pianissimo |  Normal,0,2017-08-29,01:26:40,lotfibma
98,98,Rated,113,draw,draw,15+0,avelez8,1745,anonymous1705,1714,D06,Queen's Gambit Refused: Marshall Defense,31,2017-08-31,17:20:00,
99,99,Rated,62,resign,white,15+0,avelez8,1734,ars01,1748,D06,Queen's Gambit Refused: Marshall Defense,14,2017-08-31,14:33:20,avelez8
100,100,Rated,101,resign,white,10+0,salah04,1942,avelez8,1739,C10,French Defense: Marshall Variation,203,2017-08-24,04:46:40,salah04
101,101,Rated,75,OFT,white,10+0,avelez8,1724,vincenzo2000,1855,C45,Scotch Game,131,2017-08-24,02:00:00,avelez8
102,102,Rated,135,mate,white,10+0,majid_alsalhi,1951,avelez8,1729,C02,French Defense: Advance Variation |  Main Line,222,2017-08-24,02:00:00,majid_alsalhi
103,103,Rated,81,OFT,white,10+0,avelez8,1726,pavankumarg,1388,C41,Philidor Defense,338,2017-08-24,02:00:00,avelez8
104,104,Rated,46,resign,black,10+0,avelez8,1735,mrmaccc,1806,D80,Gruenfeld Defense,71,2017-08-24,02:00:00,mrmaccc
105,105,Rated,70,mate,black,10+0,hopefullman15,1597,avelez8,1728,C00,French Defense: Knight Variation,131,2017-08-24,02:00:00,avelez8
106,106,Rated,39,resign,white,10+0,laeca53,1743,avelez8,1738,C10,French Defense: Rubinstein Variation |  Fort Knox Variation,5,2017-08-24,02:00:00,laeca53
107,107,Rated,91,resign,white,10+0,totoymate,1721,avelez8,1750,D30,Queen's Gambit Declined: Traditional Variation,29,2017-08-24,02:00:00,totoymate
108,108,Rated,137,OFT,white,10+0,avelez8,1746,frynoodles,1487,D20,Queen's Gambit Accepted: Old Variation,259,2017-08-24,02:00:00,avelez8
109,109,Rated,46,resign,black,10+0,jdalcheco,1744,avelez8,1735,C02,French Defense: Advance Variation |  Paulsen Attack,9,2017-08-24,02:00:00,avelez8
110,110,Rated,18,resign,black,10+0,avelez8,1749,yolandoparada,1631,D41,Queen's Gambit Declined: Semi-Tarrasch |  5.cxd5,118,2017-08-24,02:00:00,yolandoparada
111,111,Rated,28,resign,black,10+0,avelez8,1769,murattibogurcu,1396,D20,Queen's Gambit Accepted: Old Variation,373,2017-08-24,02:00:00,murattibogurcu
112,112,Rated,40,resign,black,5+8,cdvh,1795,hunecel,1760,A46,Yusupov-Rubinstein System,35,2017-08-25,16:53:20,hunecel
113,113,Rated,111,mate,white,15+0,hafedfree,1729,cdvh,1795,D31,Queen's Gambit Declined: Queen's Knight Variation,66,2017-08-25,16:53:20,hafedfree
114,114,Rated,54,mate,black,10+0,decem,1795,cdvh,1784,C64,Ruy Lopez: Classical Variation,11,2017-08-24,15:53:20,cdvh
115,115,Rated,33,resign,white,10+0,cdvh,1770,japcan,1872,D02,Queen's Pawn Game: Zukertort Variation,102,2017-08-24,15:53:20,cdvh
116,116,Rated,90,resign,black,10+0,cdvh,1783,raubstein,1721,D02,Queen's Pawn Game: London System,62,2017-08-24,15:53:20,raubstein
117,117,Rated,90,resign,black,10+0,ashishbarda,1884,cdvh,1768,C64,Ruy Lopez: Classical Variation |  Central Variation,116,2017-08-24,15:53:20,cdvh
118,118,Rated,40,mate,black,10+0,omid163,1756,cdvh,1756,C24,Bishop's Opening: Ponziani Gambit,0,2017-08-24,15:53:20,cdvh
119,119,Rated,49,OFT,white,8+0,cdvh,1724,capito2017,1958,A43,Benoni Defense: Benoni-Indian Defense |  Kingside Move Order,234,2017-08-24,15:53:20,cdvh
120,120,Rated,50,resign,black,10+0,chess-brahs,2036,cdvh,1706,A08,King's Indian Attack: French Variation,330,2017-08-24,13:06:40,cdvh
121,121,Rated,59,mate,white,10+0,cdvh,1706,dashy1,925,D02,Queen's Pawn Game: London System,781,2017-08-23,14:53:20,cdvh
122,122,Rated,26,OFT,black,15+15,mosheaugustyn,1244,sassou,1219,B00,Nimzowitsch Defense: Mikenas Variation,25,2017-08-30,08:00:00,sassou
123,123,Rated,23,mate,white,15+15,sassou,1215,memoryberat,921,C50,Italian Game,294,2017-08-30,08:00:00,sassou
124,124,Rated,118,mate,black,15+15,fatmat,1350,sassou,1201,B03,Alekhine Defense #2,149,2017-08-28,22:40:00,sassou
125,125,Rated,66,mate,black,15+15,sassou,1210,alpheus23,1280,B29,Sicilian Defense: Nimzowitsch Variation,70,2017-08-28,22:40:00,alpheus23
126,126,Rated,120,draw,draw,15+15,sureka_akshat,1139,sassou,1212,C50,Four Knights Game: Italian Variation,73,2017-08-28,08:46:40,
127,127,Rated,36,mate,black,15+15,sassou,1220,kapi77,1341,C57,Italian Game: Two Knights Defense |  Fried Liver Attack,121,2017-08-27,13:20:00,kapi77
128,128,Rated,26,mate,black,15+15,sassou,1234,cohiba_313,1359,C55,Italian Game: Anti-Fried Liver Defense,125,2017-08-27,13:20:00,cohiba_313
129,129,Rated,62,resign,black,15+15,sassou,1275,bagelsfu,1236,C57,Italian Game: Two Knights Defense |  Fried Liver Attack,39,2017-08-26,20:40:00,bagelsfu
130,130,Rated,37,resign,white,15+15,sabayossi,1433,sassou,1282,B02,Alekhine Defense: Maroczy Variation,151,2017-08-26,20:40:00,sabayossi
131,131,Rated,24,resign,black,15+15,trelynn17,1132,sassou,1276,D06,Queen's Gambit Refused: Marshall Defense,144,2017-08-25,14:06:40,sassou
132,132,Unrated,47,resign,white,30+2,sassou,1276,maougnassou,1308,C55,Italian Game: Anti-Fried Liver Defense,32,2017-08-22,16:40:00,sassou
133,133,Rated,37,resign,black,15+15,laeufer26,1228,sassou,1266,B02,Alekhine Defense: Two Pawn Attack |  Lasker Variation,38,2017-08-22,16:40:00,sassou
134,134,Rated,24,resign,black,15+15,sassou,1273,popsun,1409,B13,Caro-Kann Defense: Exchange Variation,136,2017-08-22,16:40:00,popsun
135,135,Rated,9,resign,white,15+15,mdaboczi,1338,sassou,1277,D00,Queen's Pawn Game #2,61,2017-08-22,13:53:20,mdaboczi
136,136,Rated,47,mate,white,15+15,sassou,1263,marktop1,1336,B57,Sicilian Defense: Modern Variations |  Main Line,73,2017-08-19,16:26:40,sassou
137,137,Rated,85,mate,white,15+15,rougethunder,1316,sassou,1273,A20,English Opening: King's English Variation,43,2017-08-19,16:26:40,rougethunder
138,138,Rated,39,mate,white,15+15,sassou,1248,shobik24,1253,B00,Goldsmith Defense,5,2017-08-19,10:53:20,sassou
139,139,Rated,58,mate,black,15+15,maninayebi,1335,sassou,1233,E20,Nimzo-Indian Defense,102,2017-08-19,08:06:40,sassou
140,140,Rated,95,mate,white,15+15,sassou,1223,agilm,1189,C57,Italian Game: Two Knights Defense |  Fried Liver Attack,34,2017-08-19,08:06:40,sassou
142,142,Rated,97,mate,white,15+15,failedocean,1227,sassou,1216,D06,Queen's Gambit Refused: Marshall Defense,11,2017-08-18,21:00:00,failedocean
143,143,Rated,12,draw,draw,15+15,sassou,1215,lumipa,1219,C50,Italian Game,4,2017-08-18,21:00:00,
144,144,Rated,30,resign,white,15+15,fastandbulbous420,1227,sassou,1227,C50,Four Knights Game: Italian Variation,0,2017-08-18,21:00:00,fastandbulbous420
145,145,Rated,43,mate,white,10+0,minimouf,1550,sassou,1225,E11,Bogo-Indian Defense: Exchange Variation,325,2017-08-18,21:00:00,minimouf
146,146,Rated,11,resign,white,15+15,goodolddaystr,1325,sassou,1234,B02,Alekhine Defense,91,2017-08-18,18:13:20,goodolddaystr
147,147,Rated,72,mate,black,15+15,gonzalogp98,1212,sassou,1221,B02,Alekhine Defense: Saemisch Attack,9,2017-08-18,12:40:00,sassou
148,148,Rated,156,mate,black,15+15,sassou,1226,vladimir_shindin,1478,C40,King's Knight Opening,252,2017-08-18,12:40:00,vladimir_shindin
149,149,Rated,18,resign,black,25+0,sassou,1228,martin74,1626,D30,Queen's Gambit Declined,398,2017-08-18,12:40:00,martin74
150,150,Unrated,77,mate,white,10+2,gotochess,1191,sassou,1228,C11,French Defense: Classical Variation |  Steinitz Variation,37,2017-08-18,12:40:00,gotochess
151,151,Rated,32,resign,black,30+0,quent0,1422,sassou,1210,B02,Alekhine Defense: Two Pawn Attack,212,2017-08-18,09:53:20,sassou
152,152,Rated,35,resign,white,15+15,dangerflaps,1186,sassou,1223,C28,Vienna Game: Vienna Gambit,37,2017-08-18,09:53:20,dangerflaps
153,153,Rated,85,mate,white,15+15,sassou,1212,shazzam9999,1212,B06,Modern Defense,0,2017-08-18,09:53:20,sassou
154,154,Rated,50,resign,black,15+15,sassou,1228,chessn00b47,1343,B01,Scandinavian Defense: Panov Transfer,115,2017-08-18,09:53:20,chessn00b47
155,155,Rated,111,resign,white,10+10,japonxino,1865,isachess,1862,A46,Yusupov-Rubinstein System,3,2017-08-31,00:40:00,japonxino
156,156,Rated,65,OFT,white,7+2,isachess,1852,roshan_ie,1852,B30,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,0,2017-08-28,19:53:20,isachess
157,157,Rated,73,resign,white,15+0,cliff_walker,1833,isachess,1863,A56,Benoni Defense,30,2017-08-27,05:00:00,cliff_walker
158,158,Rated,125,resign,white,15+0,isachess,1851,sergej1956,1918,B27,Sicilian Defense: Hyperaccelerated Dragon,67,2017-08-25,19:40:00,isachess
159,159,Rated,76,resign,black,15+0,isachess,1861,pogrib,1844,C55,Italian Game: Anti-Fried Liver Defense,17,2017-08-25,03:00:00,pogrib
160,160,Rated,65,OFT,white,10+0,isachess,1853,tartetatin,1774,C65,Ruy Lopez: Berlin Defense #2,79,2017-08-25,03:00:00,isachess
161,161,Rated,41,mate,white,10+0,juncinmestrella,1910,isachess,1862,B90,Sicilian Defense: Najdorf |  Lipnitsky Attack,48,2017-08-25,00:13:20,juncinmestrella
162,162,Rated,59,resign,white,10+0,isachess,1851,robinhood76,1890,C00,French Defense: Knight Variation,39,2017-08-25,00:13:20,isachess
163,163,Rated,70,resign,black,15+5,tohaimr7,1860,isachess,1840,B50,Sicilian Defense: Delayed Alapin,20,2017-08-24,18:40:00,isachess
164,164,Rated,34,resign,white,25+25,zpectral-chess,1828,isachess,1848,B51,Sicilian Defense: Canal-Sokolsky Attack,20,2017-08-24,04:46:40,zpectral-chess
165,165,Rated,69,OFT,white,8+0,javier_temperley,1855,isachess,1858,E00,Amar Opening,3,2017-08-23,03:46:40,javier_temperley
166,166,Rated,63,resign,white,10+10,isachess,1847,jadesummer,1895,C70,Ruy Lopez: Morphy Defense |  Classical Defense Deferred,48,2017-08-23,01:00:00,isachess
167,167,Rated,107,resign,white,10+10,jadesummer,1885,isachess,1856,B50,Sicilian Defense,29,2017-08-23,01:00:00,jadesummer
168,168,Rated,58,resign,white,30+0,isachess,1847,borvel,1802,A40,Queen's Pawn,45,2017-08-22,22:13:20,isachess
169,169,Unrated,34,resign,black,20+5,isachess,1847,homayoni,1856,B11,Caro-Kann Defense: Two Knights Attack |  Mindeno Variation,9,2017-08-22,22:13:20,homayoni
170,170,Rated,100,OFT,black,15+0,demetrio50,1840,isachess,1837,B22,Sicilian Defense: Alapin Variation,3,2017-08-22,19:26:40,isachess
171,171,Rated,80,resign,black,5+5,isachess,1848,maxpiz5,1806,B40,Sicilian Defense: French Variation,42,2017-08-21,21:13:20,maxpiz5
172,172,Rated,44,resign,black,15+0,isachess,1860,philiveykk,1820,C00,French Defense: Knight Variation,40,2017-08-21,18:26:40,philiveykk
173,173,Rated,40,OFT,black,10+0,azcatdave,1854,isachess,1849,A45,Paleface Attack,5,2017-08-20,03:33:20,isachess
174,174,Rated,105,OFT,white,10+0,fikr,1895,isachess,1859,B50,Sicilian Defense,36,2017-08-19,05:20:00,fikr
175,175,Rated,50,resign,black,15+0,isachess,1866,samdooley,1965,B31,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack |  Fianchetto Variation,99,2017-08-19,02:33:20,samdooley
176,176,Unrated,144,OFT,draw,10+0,isachess,1866,teguhmaster,1843,B50,Sicilian Defense,23,2017-08-18,21:00:00,
177,177,Unrated,81,resign,black,10+0,nf3isstrong,1835,isachess,1866,B18,Caro-Kann Defense: Classical Variation |  Flohr Variation,31,2017-08-18,01:33:20,isachess
178,178,Rated,69,resign,black,15+0,isachess,1877,dzigibau,1860,C61,Ruy Lopez: Bird Variation,17,2017-08-17,03:20:00,dzigibau
179,179,Rated,77,mate,white,7+8,edil1800,1849,isachess,1874,B90,Sicilian Defense: Najdorf Variation |  Adams Attack,25,2017-08-07,01:40:00,edil1800
180,180,Rated,158,mate,black,6+6,humb,1835,isachess,1865,E10,Blumenfeld Countergambit #2,30,2017-08-06,00:40:00,isachess
